eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
nan,nan,-249.1369171142578,261,1,3.5835189819335938,-0.034654997289180756,480,5.431180056802987e-07
nan,nan,0.0007905960083007812,1424,100,0.2312137931585312,-1.3541619777679443,48000,71.9109115600586
1849.1538461538462,1571.128205128205,0.0,1440,200,3.378986358642578,0.6664844751358032,96000,14.532696723937988
1560.2048192771085,1686.3855421686746,1.1920928955078125e-07,1439,300,2.8091351985931396,-0.9531826972961426,144000,37.80665969848633
1161.36,1829.83,0.0,1433,400,2.689333200454712,-0.8183730840682983,192000,77.14046478271484
956.65,1855.63,0.0,1419,500,2.531170606613159,-3.524495840072632,240000,107.07015228271484
903.84,1887.06,0.0,1410,600,2.5274808406829834,-3.0744237899780273,288000,53.90800857543945
888.12,1851.68,0.0,1406,700,2.467301845550537,-0.7862905263900757,336000,22.251806259155273
869.92,1760.77,1.7881393432617188e-07,1410,800,2.294449806213379,1.6594197750091553,384000,25.322233200073242
799.34,1694.33,0.0,1408,900,2.4582326412200928,-1.504514217376709,432000,57.245059967041016
769.0,1776.87,0.0,1410,1000,2.3972105979919434,2.1646728515625,480000,25.30493927001953
757.73,1711.96,0.0,1412,1100,2.413271903991699,0.05044720321893692,528000,31.3459529876709
782.48,1736.16,0.0,1413,1200,2.3607842922210693,1.280916452407837,576000,25.863142013549805
766.73,1535.28,0.0,1417,1300,1.7329026460647583,1.6215018033981323,624000,22.725975036621094
675.12,1550.58,5.960464477539063e-08,1418,1400,1.9147632122039795,2.148700714111328,672000,26.41124725341797
658.16,1566.59,5.960464477539063e-08,1420,1500,1.9776707887649536,0.16854123771190643,720000,23.599040985107422
686.33,1648.88,1.7881393432617188e-07,1424,1600,1.976093053817749,1.0209704637527466,768000,23.41770362854004
691.29,1632.38,-1.1920928955078125e-07,1427,1700,2.122974157333374,-2.492140531539917,816000,92.8258056640625
