absolute time,reward,time,,
1596257612.829,0.000,0.000,,
1596257612.883,0.000,0.054,,
1596257612.925,0.000,0.096,,
1596257612.938,0.000,0.108,,
1596257612.948,0.000,0.119,,
1596257612.974,0.000,0.144,,
1596257612.989,0.000,0.160,,
1596257613.031,0.000,0.201,,
1596257613.049,0.000,0.220,,
1596257613.069,0.000,0.240,,
1596257613.095,0.000,0.265,,
1596257613.111,0.000,0.281,,
1596257613.125,0.000,0.295,,
1596257613.173,0.000,0.344,,
1596257613.192,0.000,0.363,,
1596257613.215,0.000,0.386,,
1596257613.242,0.000,0.413,,
1596257613.260,0.000,0.431,,
1596257613.282,0.000,0.453,,
1596257613.308,0.000,0.478,,
1596257613.325,1.000,0.495,,
1596257613.356,2.000,0.527,,
1596257613.377,3.000,0.547,,
1596257613.398,4.000,0.569,,
1596257613.420,5.000,0.591,,
1596257613.438,6.000,0.608,,
1596257613.455,7.000,0.625,,
1596257613.477,8.000,0.648,,
1596257613.493,9.000,0.663,,
1596257613.525,10.000,0.696,,
1596257613.544,11.000,0.715,,
1596257613.566,12.000,0.737,,
1596257613.586,13.000,0.757,,
1596257613.607,14.000,0.778,,
1596257613.627,15.000,0.798,,
1596257613.648,16.000,0.819,,
1596257613.666,17.000,0.836,,
1596257613.684,18.000,0.855,,
1596257613.726,19.000,0.896,,
1596257613.744,20.000,0.915,,
1596257613.771,21.000,0.942,,
1596257613.790,22.000,0.961,,
1596257613.810,23.000,0.981,,
1596257613.829,24.000,1.000,,
1596257613.842,25.000,1.013,,
1596257613.872,26.000,1.043,,
1596257613.922,27.000,1.093,,
1596257613.961,28.000,1.132,,
1596257613.988,29.000,1.159,,
1596257614.004,30.000,1.174,,
1596257614.029,31.000,1.200,,
1596257614.081,32.000,1.251,,
1596257614.133,33.000,1.304,,
1596257614.184,34.000,1.354,,
1596257614.228,35.000,1.399,,
1596257614.250,36.000,1.420,,
1596257614.276,37.000,1.446,,
1596257614.319,38.000,1.490,,
1596257614.340,39.000,1.511,,
